Level,Name,Parts,Wraps,West,South,East,North,AreaKm2,Part1Area,Part1West,Part1South,Part1East,Part1North,Part2Area,Part2West,Part2South,Part2East,Part2North,Part3Area,Part3West,Part3South,Part3East,Part3North,Part4Area,Part4West,Part4South,Part4East,Part4North,Part5Area,Part5West,Part5South,Part5East,Part5North
CONTINENT,Africa,70,false,-25.361,-46.966,51.418,37.346,2.98907e7,2.92807e7,-17.537,-34.822,51.418,37.346,592482.0,43.222,-25.599,50.504,-11.943,1985.6,8.422,3.197,8.964,3.773,1556.84,39.177,-6.463,39.575,-5.718,1024.67,43.213,-11.933,43.499,-11.361
CONTINENT,Antarctica,179,false,-180.0,-90.0,180.0,-60.516,1.23582e7,1.21577e7,-180.0,-90.0,180.0,-63.214,48169.6,-75.439,-72.675,-68.161,-68.78,45479.8,-54.413,-80.878,-42.936,-77.772,11287.1,-102.324,-72.584,-95.428,-71.756,7860.64,-164.327,-79.855,-158.953,-78.706
CONTINENT,Asia,858,false,25.663,-12.2,153.986,55.435,3.11831e7,2.82072e7,26.069,1.27,134.773,55.435,730587.0,108.855,-4.185,119.279,7.027,427977.0,95.197,-5.931,106.08,5.655,381927.0,130.948,-9.107,140.978,-0.347,229140.0,130.861,33.433,142.071,41.547
CONTINENT,Europe,750,true,-68.418,-54.463,-168.994,81.859,2.29794e7,2.1852e7,-9.498,36.006,180.0,77.738,218624.0,-6.237,49.959,1.772,58.678,110411.0,-180.0,64.24,-169.641,68.983,102362.0,-24.54,63.396,-13.502,66.537,83416.0,-10.479,51.445,-5.43,55.387
CONTINENT,North America,1135,true,166.619,-0.389,-11.376,83.635,2.42691e7,2.0168e7,-168.138,7.205,-55.616,72.003,2.11222e6,-73.058,59.987,-11.376,83.635,514388.0,-90.119,61.858,-61.267,73.856,220425.0,-119.138,68.454,-100.872,73.385,198129.0,-91.957,76.129,-61.085,83.117
CONTINENT,Oceania,545,true,112.919,-54.751,-124.778,20.556,8.51306e6,7.5987e6,113.156,-39.145,153.631,-10.687,400121.0,140.849,-10.702,150.875,-2.589,150335.0,166.466,-46.682,174.327,-40.502,113968.0,172.674,-41.621,178.567,-34.397,64338.7,144.605,-43.642,148.365,-40.64
CONTINENT,Seven seas (open ocean),251,false,-109.235,-59.473,77.586,10.312,14575.8,6587.01,68.748,-49.722,70.569,-48.654,3609.51,-38.033,-54.888,-35.784,-53.972,1901.15,57.303,-20.518,57.796,-19.979,394.833,73.236,-53.193,73.813,-52.961,194.393,69.192,-49.095,69.412,-48.884
CONTINENT,South America,283,false,-109.454,-55.919,-28.877,15.703,1.76182e7,1.74291e7,-81.338,-53.887,-34.793,12.469,47137.2,-72.008,-55.053,-65.141,-52.451,38765.2,-50.814,-1.833,-48.366,-0.099,8130.75,-74.408,-43.424,-73.374,-41.77,6302.41,-59.722,-52.342,-57.734,-51.248
REGION_UN,Africa,135,false,-25.361,-53.193,105.715,37.346,2.99013e7,2.92807e7,-17.537,-34.822,51.418,37.346,592482.0,43.222,-25.599,50.504,-11.943,6587.01,68.748,-49.722,70.569,-48.654,1985.6,8.422,3.197,8.964,3.773,1901.15,57.303,-20.518,57.796,-19.979
REGION_UN,Americas,1417,true,172.476,-59.473,-11.376,83.635,4.18913e7,3.75971e7,-168.138,-53.887,-34.793,72.003,2.11222e6,-73.058,59.987,-11.376,83.635,514388.0,-90.119,61.858,-61.267,73.856,220425.0,-119.138,68.454,-100.872,73.385,198129.0,-91.957,76.129,-61.085,83.117
REGION_UN,Antarctica,179,false,-180.0,-90.0,180.0,-60.516,1.23582e7,1.21577e7,-180.0,-90.0,180.0,-63.214,48169.6,-75.439,-72.675,-68.161,-68.78,45479.8,-54.413,-80.878,-42.936,-77.772,11287.1,-102.324,-72.584,-95.428,-71.756,7860.64,-164.327,-79.855,-158.953,-78.706
REGION_UN,Asia,1031,false,25.663,-10.923,153.986,55.435,3.11831e7,2.82072e7,26.069,1.27,134.773,55.435,730587.0,108.855,-4.185,119.279,7.027,427977.0,95.197,-5.931,106.08,5.655,381927.0,130.948,-9.107,140.978,-0.347,229140.0,130.861,33.433,142.071,41.547
REGION_UN,Europe,750,true,-68.418,-54.463,-168.994,81.859,2.29794e7,2.1852e7,-9.498,36.006,180.0,77.738,218624.0,-6.237,49.959,1.772,58.678,110411.0,-180.0,64.24,-169.641,68.983,102362.0,-24.54,63.396,-13.502,66.537,83416.0,-10.479,51.445,-5.43,55.387
REGION_UN,Oceania,558,true,112.919,-54.751,-75.002,28.216,8.51308e6,7.5987e6,113.156,-39.145,153.631,-10.687,400121.0,140.849,-10.702,150.875,-2.589,150335.0,166.466,-46.682,174.327,-40.502,113968.0,172.674,-41.621,178.567,-34.397,64338.7,144.605,-43.642,148.365,-40.64
SUBREGION,Antarctica,179,false,-180.0,-90.0,180.0,-60.516,1.23582e7,1.21577e7,-180.0,-90.0,180.0,-63.214,48169.6,-75.439,-72.675,-68.161,-68.78,45479.8,-54.413,-80.878,-42.936,-77.772,11287.1,-102.324,-72.584,-95.428,-71.756,7860.64,-164.327,-79.855,-158.953,-78.706
SUBREGION,Australia and New Zealand,123,true,112.919,-54.751,-171.185,-8.543,7.95971e6,7.5987e6,113.156,-39.145,153.631,-10.687,150335.0,166.466,-46.682,174.327,-40.502,113968.0,172.674,-41.621,178.567,-34.397,64338.7,144.605,-43.642,148.365,-40.64,5817.76,130.365,-11.934,131.539,-11.153
SUBREGION,Caribbean,151,false,-84.95,10.042,-59.426,26.929,228493.0,105810.0,-84.95,19.827,-74.132,23.213,74219.4,-74.49,17.604,-68.328,19.946,11032.9,-78.375,17.703,-76.187,18.526,8780.37,-67.271,17.922,-65.591,18.523,4832.09,-61.929,10.042,-60.907,10.846
SUBREGION,Central America,89,false,-118.369,5.515,-77.163,32.713,2.4761e6,2.4685e6,-117.126,7.205,-77.163,32.713,1212.37,-112.584,28.746,-112.195,29.247,934.793,-113.594,28.984,-113.102,29.55,490.227,-81.883,7.321,-81.588,7.645,478.987,-87.023,20.26,-86.735,20.596
SUBREGION,Central Asia,8,false,46.478,35.14,87.324,55.435,3.98068e6,3.98016e6,46.478,35.14,87.324,55.435,111.855,52.552,45.396,52.703,45.528,88.0754,49.719,46.21,49.842,46.358,84.6226,49.986,44.817,50.19,45.08,75.9115,53.026,38.755,53.103,39.098
SUBREGION,Eastern Africa,48,false,21.979,-26.861,63.494,18.005,7.00545e6,6.40412e6,21.979,-26.861,51.418,18.005,592482.0,43.222,-25.599,50.504,-11.943,1901.15,57.303,-20.518,57.796,-19.979,1556.84,39.177,-6.463,39.575,-5.718,1024.67,43.213,-11.933,43.499,-11.361
SUBREGION,Eastern Asia,253,false,73.602,15.775,153.986,53.57,1.15716e7,1.11173e7,73.602,20.238,134.773,53.57,229140.0,130.861,33.433,142.071,41.547,78318.3,139.767,41.401,145.825,45.521,36951.0,129.552,31.003,132.085,33.967,35857.6,120.052,21.904,122.006,25.288
SUBREGION,Eastern Europe,215,true,12.076,41.192,-168.994,81.859,1.86759e7,1.82673e7,12.076,41.192,180.0,77.738,110411.0,-180.0,64.24,-169.641,68.983,75494.2,141.639,45.9,144.757,54.427,46845.4,53.631,73.243,69.034,77.014,33096.3,51.401,70.544,57.639,73.426
SUBREGION,Melanesia,188,true,140.849,-22.671,-178.216,-1.346,542414.0,400121.0,140.849,-10.702,150.875,-2.589,35831.5,148.324,-6.322,152.418,-4.142,16544.2,163.986,-22.396,167.035,-20.083,10893.3,177.251,-18.274,178.712,-17.3,8712.59,154.698,-6.877,155.968,-5.426
SUBREGION,Micronesia,100,true,131.131,-11.462,-151.78,20.556,3412.73,564.205,144.624,13.241,144.953,13.655,436.467,-157.582,1.709,-157.174,2.035,351.024,134.482,7.355,134.664,7.735,340.645,158.125,6.788,158.339,6.979,132.438,145.682,15.096,145.824,15.273
SUBREGION,Middle Africa,9,false,5.611,-18.032,31.281,23.445,6.55104e6,6.54768e6,8.505,-18.032,31.281,23.445,1985.6,8.422,3.197,8.964,3.773,880.889,6.461,0.024,6.761,0.411,156.267,7.329,1.531,7.463,1.7,125.585,8.949,-0.763,9.042,-0.592
SUBREGION,Northern Africa,12,false,-17.105,8.681,38.604,37.346,7.63016e6,7.62928e6,-17.105,8.681,38.604,37.346,496.054,10.727,33.64,11.061,33.897,110.641,11.122,34.663,11.305,34.826,60.8644,34.489,27.917,34.621,28.017,49.9058,33.913,27.448,34.052,27.537
SUBREGION,Northern America,884,true,172.476,18.906,-11.376,83.635,2.15645e7,1.76995e7,-168.138,25.121,-55.616,72.003,2.11222e6,-73.058,59.987,-11.376,83.635,514388.0,-90.119,61.858,-61.267,73.856,220425.0,-119.138,68.454,-100.872,73.385,198129.0,-91.957,76.129,-61.085,83.117
SUBREGION,Northern Europe,326,false,-24.54,-54.463,33.641,80.771,1.79799e6,1.07414e6,4.926,55.342,31.57,71.128,218624.0,-6.237,49.959,1.772,58.678,171006.0,20.968,53.886,28.218,59.671,102362.0,-24.54,63.396,-13.502,66.537,83416.0,-10.479,51.445,-5.43,55.387
SUBREGION,Polynesia,134,true,176.125,-27.642,-124.778,-5.677,7516.97,1645.49,-172.783,-13.806,-172.175,-13.462,1134.93,-172.064,-14.053,-171.437,-13.805,1035.25,-149.643,-17.87,-149.149,-17.494,340.835,-139.174,-9.855,-138.814,-9.694,336.161,-140.262,-8.954,-140.014,-8.781
SUBREGION,Seven seas (open ocean),57,true,-75.031,-59.473,-160.008,28.216,11785.3,6587.01,68.748,-49.722,70.569,-48.654,3609.51,-38.033,-54.888,-35.784,-53.972,394.833,73.236,-53.193,73.813,-52.961,194.393,69.192,-49.095,69.412,-48.884,140.575,51.656,-46.452,51.869,-46.327
SUBREGION,South America,283,false,-109.454,-55.919,-28.877,15.703,1.76182e7,1.74291e7,-81.338,-53.887,-34.793,12.469,47137.2,-72.008,-55.053,-65.141,-52.451,38765.2,-50.814,-1.833,-48.366,-0.099,8130.75,-74.408,-43.424,-73.374,-41.77,6302.41,-59.722,-52.342,-57.734,-51.248
SUBREGION,South-Eastern Asia,477,false,92.174,-10.923,140.978,28.539,4.438e6,2.03709e6,92.174,1.27,109.473,28.539,730587.0,108.855,-4.185,119.279,7.027,427977.0,95.197,-5.931,106.08,5.655,381927.0,130.948,-9.107,140.978,-0.347,170046.0,118.757,-5.704,125.25,1.745
