Code2,Code,Name,Definition,Units,Scale,Offset,Axis
BIO1,1,Annual Mean Temperature,Mean of the 12 monthly mean temperatures,K,1,0,MeanTemperature
BIO2,2,Mean Diurnal Range,Mean of monthly (max temp - min temp),K,1,0,DiurnalTemperatureRange
BIO3,3,Isothermality,(BIO2 / BIO7) x 100,,0.01,0,Isothermality
BIO4,4,Temperature Seasonality,Standard deviation of monthly mean temperatures x 100,K,0.01,0,TemperatureSeasonality
BIO5,5,Max Temperature of Warmest Month,Highest monthly maximum temperature,K,1,0,MaxTemperature
BIO6,6,Min Temperature of Coldest Month,Lowest monthly minimum temperature,K,1,0,MinTemperature
BIO7,7,Temperature Annual Range,BIO5 - BIO6,K,1,0,TemperatureAnnualRange
BIO8,8,Mean Temperature of Wettest Quarter,Mean temperature of the wettest 3 consecutive months,K,1,0,WettestQuarterTemperature
BIO9,9,Mean Temperature of Driest Quarter,Mean temperature of the driest 3 consecutive months,K,1,0,DriestQuarterTemperature
BIO10,10,Mean Temperature of Warmest Quarter,Mean temperature of the warmest 3 consecutive months,K,1,0,WarmestQuarterTemperature
BIO11,11,Mean Temperature of Coldest Quarter,Mean temperature of the coldest 3 consecutive months,K,1,0,ColdestQuarterTemperature
BIO12,12,Annual Precipitation,Sum of the 12 monthly precipitation totals,mm,1,0,Precipitation
BIO13,13,Precipitation of Wettest Month,Precipitation of the month with the highest total,mm,1,0,WettestMonthPrecipitation
BIO14,14,Precipitation of Driest Month,Precipitation of the month with the lowest total,mm,1,0,DriestMonthPrecipitation
BIO15,15,Precipitation Seasonality,Coefficient of variation of monthly precipitation (SD / mean x 100),,0.01,0,PrecipitationSeasonality
BIO16,16,Precipitation of Wettest Quarter,Total precipitation of the wettest 3 consecutive months,mm,1,0,WettestQuarterPrecipitation
BIO17,17,Precipitation of Driest Quarter,Total precipitation of the driest 3 consecutive months,mm,1,0,DriestQuarterPrecipitation
BIO18,18,Precipitation of Warmest Quarter,Total precipitation of the warmest 3 consecutive months,mm,1,0,WarmestQuarterPrecipitation
BIO19,19,Precipitation of Coldest Quarter,Total precipitation of the coldest 3 consecutive months,mm,1,0,ColdestQuarterPrecipitation
