Code,Axis,OfficialUnit,Units,UnitDimension,Category,ValueType,Name,Definition,Source,NumSlices,Temporal Resolution,AccumulationPeriod,Notes
tmin,Temperature,°C,°C,𝚯,instantaneous,continuous,Minimum Temperature,Average daily minimum temperature for the month,WorldClim,12,month_mean_duration,,Available for historical (1970-2000) and CMIP6 future scenarios
tmax,Temperature,°C,°C,𝚯,instantaneous,continuous,Maximum Temperature,Average daily maximum temperature for the month,WorldClim,12,month_mean_duration,,Available for historical (1970-2000) and CMIP6 future scenarios
tavg,Temperature,°C,°C,𝚯,instantaneous,continuous,Average Temperature,Mean of tmin and tmax for the month,WorldClim,12,month_mean_duration,,Historical only; not distributed for CMIP6 future data
prec,Precipitation,mm,L*m^-2,𝐋,rate,continuous,Precipitation,Total precipitation for the month,WorldClim,12,month_mean_duration,perslice=calendar_month,"Available for historical (1970-2000) and CMIP6 future scenarios; kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3)"
srad,SolarRadiation,kJ*m^-2*day^-1,kJ*m^-2,𝐌 * 𝐓^-2,rate,continuous,Solar Radiation,Incident downward shortwave radiation flux,WorldClim,12,month_mean_duration,day,Historical only
wind,WindSpeed,m*s^-1,m*s^-1,𝐋 * 𝐓^-1,instantaneous,continuous,Wind Speed,Average 10 m wind speed for the month,WorldClim,12,month_mean_duration,,Historical only
vapr,VapourPressure,kPa,kPa,𝐌 * 𝐋^-1 * 𝐓^-2,instantaneous,continuous,Water Vapour Pressure,Average water vapour partial pressure for the month,WorldClim,12,month_mean_duration,,Historical only
tas,Temperature,°C,°C,𝚯,instantaneous,continuous,Mean daily air temperature,Mean daily 2 m air temperature,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
tasmax,Temperature,°C,°C,𝚯,instantaneous,continuous,Mean daily maximum air temperature,Mean daily maximum 2 m air temperature,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
tasmin,Temperature,°C,°C,𝚯,instantaneous,continuous,Mean daily minimum air temperature,Mean daily minimum 2 m air temperature,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
pr,Precipitation,kg*m^-2,L*m^-2,𝐋,rate,continuous,Precipitation amount,Precipitation of water in all phases; monthly total,CHELSA,12,month_mean_duration,perslice=calendar_month,"CHELSA v2.1 (1981-2010); kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3)"
rsds,SolarRadiation,MJ*m^-2*day^-1,MJ*m^-2,𝐌 * 𝐓^-2,rate,continuous,Surface downwelling shortwave flux in air,Shortwave flux at the surface; attenuating effects of clouds accounted for,CHELSA,12,month_mean_duration,day,CHELSA v2.1 (1981-2010); confirmed 404 at CHELSA's server as of 2026-07-24 - not currently fetchable regardless of unit
sfcWind,WindSpeed,m*s^-1,m*s^-1,𝐋 * 𝐓^-1,instantaneous,continuous,Near-surface wind speed,Wind speed 10 m above ground,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
clt,CloudCover,%,percent,,instantaneous,continuous,Total cloud cover at surface,Cloud cover across the whole atmospheric column seen from the surface upwards,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
cmi,ClimateMoisture,kg*m^-2*month^-1,L*m^-2,𝐋,balance,continuous,Climate moisture index,Precipitation amount minus potential evapotranspiration,CHELSA,12,month_mean_duration,perslice=calendar_month,"CHELSA v2.1 (1981-2010); kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); this is a liquid water equivalent, not the actual density of vapour or snow"
hurs,RelativeHumidity,%,percent,,instantaneous,continuous,Near-surface relative humidity,Near-surface relative humidity,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
pet,Evapotranspiration,kg*m^-2*month^-1,L*m^-2,𝐋,rate,continuous,Potential evapotranspiration,PET calculated with the Penman-Monteith equation,CHELSA,12,month_mean_duration,perslice=calendar_month,"CHELSA v2.1 (1981-2010); files are named pet_penman; kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); this is a liquid water equivalent, not the actual density of vapour or snow"
vpd,VapourPressureDeficit,Pa,Pa,𝐌 * 𝐋^-1 * 𝐓^-2,instantaneous,continuous,Vapour pressure deficit,Vapour pressure deficit,CHELSA,12,month_mean_duration,,CHELSA v2.1 (1981-2010)
