Code,Axis,OfficialUnit,Units,UnitDimension,Category,ValueType,Name,Definition,Source,NumSlices,Temporal Resolution,AccumulationPeriod,Notes
1;needleleaf_trees,SurfaceArea,,percent,,instantaneous,continuous,Evergreen/Deciduous Needleleaf Trees,Needleleaf tree cover (evergreen and deciduous combined),EarthEnv,1,,,
2;evergreen_broadleaf_trees,SurfaceArea,,percent,,instantaneous,continuous,Evergreen Broadleaf Trees,Broadleaf trees retaining leaves year-round,EarthEnv,1,,,
3;deciduous_broadleaf_trees,SurfaceArea,,percent,,instantaneous,continuous,Deciduous Broadleaf Trees,Broadleaf trees shedding leaves seasonally,EarthEnv,1,,,
4;other_trees,SurfaceArea,,percent,,instantaneous,continuous,Mixed/Other Trees,Mixed forest and tree cover not assignable to classes 1-3,EarthEnv,1,,,
5;shrubs,SurfaceArea,,percent,,instantaneous,continuous,Shrubs,Woody vegetation below tree height,EarthEnv,1,,,
6;herbaceous,SurfaceArea,,percent,,instantaneous,continuous,Herbaceous Vegetation,Natural grasses and non-woody herbaceous cover,EarthEnv,1,,,
7;cultivated_and_managed,SurfaceArea,,percent,,instantaneous,continuous,Cultivated and Managed Vegetation,Croplands and managed vegetation,EarthEnv,1,,,
8;regularly_flooded,SurfaceArea,,percent,,instantaneous,continuous,Regularly Flooded Vegetation,Wetlands; vegetation subject to regular flooding,EarthEnv,1,,,
9;urban_builtup,SurfaceArea,,percent,,instantaneous,continuous,Urban/Built-up,Artificial surfaces and built infrastructure,EarthEnv,1,,,
10;snow_ice,SurfaceArea,,percent,,instantaneous,continuous,Snow/Ice,Permanent snow and ice,EarthEnv,1,,,
11;barren,SurfaceArea,,percent,,instantaneous,continuous,Barren,"Bare soil, rock, sand and sparsely vegetated ground",EarthEnv,1,,,
12;open_water,SurfaceArea,,percent,,instantaneous,continuous,Open Water,Permanent open water bodies,EarthEnv,1,,,
