Dataset,Format,LongitudeRange,CRS,Resolution,Extent,Fetch,URL,DOI,Licence,Version,Citation,Notes
WorldClim{BioClim},GeoTIFF,-180..180,EPSG:4326,10arcminute;5arcminute;2.5arcminute;30arcsecond,"Y=(-90,90);X=(-180,180)",getraster,https://www.worldclim.org/data/worldclim21.html,10.1002/joc.5086,,2.1,"Fick, S. E., & Hijmans, R. J. (2017). WorldClim 2: new 1-km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37(12), 4302-4315. https://doi.org/10.1002/joc.5086",Averages for 1970-2000. Checked against the 10 arcminute files.
WorldClim{Climate},GeoTIFF,-180..180,EPSG:4326,10arcminute;5arcminute;2.5arcminute;30arcsecond,"Y=(-90,90);X=(-180,180)",getraster,https://www.worldclim.org/data/worldclim21.html,10.1002/joc.5086,,2.1,"Fick, S. E., & Hijmans, R. J. (2017). WorldClim 2: new 1-km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37(12), 4302-4315. https://doi.org/10.1002/joc.5086",Monthly averages for 1970-2000; `getraster` needs a `month`. Checked against the 10 arcminute files.
WorldClim{Elevation},GeoTIFF,-180..180,EPSG:4326,10arcminute;5arcminute;2.5arcminute;30arcsecond,"Y=(-90,90);X=(-180,180)",getraster,https://www.worldclim.org/data/worldclim21.html,10.1002/joc.5086,,2.1,"Fick, S. E., & Hijmans, R. J. (2017). WorldClim 2: new 1-km spatial resolution climate surfaces for global land areas. International Journal of Climatology, 37(12), 4302-4315. https://doi.org/10.1002/joc.5086",Checked against the 10 arcminute file.
CHELSA{BioClim},GeoTIFF,-180..180,EPSG:4326,30arcsecond,"Y=(-90,84);X=(-180,180)",getraster,https://chelsa-climate.org/,10.1038/sdata.2017.122,,2.1,"Karger, D. N., Conrad, O., Böhner, J., Kawohl, T., Kreft, H., Soria-Auza, R. W., Zimmermann, N. E., Linder, H. P., & Kessler, M. (2017). Climatologies at high resolution for the earth's land surface areas. Scientific Data, 4(1). https://doi.org/10.1038/sdata.2017.122",Averages for 1981-2010. The grid origin sits 0.00014 degrees off the lattice; the extent here is the documented one.
CHELSA{BioClimPlus},GeoTIFF,-180..180,EPSG:4326,30arcsecond,"Y=(-90,84);X=(-180,180)",getraster,https://chelsa-climate.org/,10.5194/essd-14-5573-2022,,2.1,"Brun, P., Zimmermann, N. E., Hari, C., Pellissier, L., & Karger, D. N. (2022). Global climate-related predictors at kilometer resolution for the past and future. Earth System Science Data, 14(12), 5573-5603. https://doi.org/10.5194/essd-14-5573-2022",Averages for 1981-2010 on the same grid as CHELSA{BioClim}; checked against the gdd and npp files.
CHELSA{Climate},GeoTIFF,-180..180,EPSG:4326,30arcsecond;90arcsecond,"Y=(-90,90);X=(-180,180)",getraster,https://chelsa-climate.org/,10.1038/sdata.2017.122,,2.1,"Karger, D. N., Conrad, O., Böhner, J., Kawohl, T., Kreft, H., Soria-Auza, R. W., Zimmermann, N. E., Linder, H. P., & Kessler, M. (2017). Climatologies at high resolution for the earth's land surface areas. Scientific Data, 4(1). https://doi.org/10.1038/sdata.2017.122","Monthly averages for 1981-2010. Every layer is at 30 arcseconds except `clt`, which is at 90 arcseconds and reaches 90 degrees north."
EarthEnv{LandCover},GeoTIFF,-180..180,EPSG:4326,30arcsecond,"Y=(-56,90);X=(-180,180)",getraster,https://www.earthenv.org/landcover,10.1111/geb.12182,,1,"Tuanmu, M.-N., & Jetz, W. (2014). A global 1-km consensus land-cover product for biodiversity and ecosystem modelling. Global Ecology and Biogeography, 23(9), 1031-1045. https://doi.org/10.1111/geb.12182",Consensus land cover; twelve class layers of percentage cover.
EarthEnv{HabitatHeterogeneity},GeoTIFF,-180..180,EPSG:4326,30arcsecond;2.5arcminute;12.5arcminute,"Y=(-60,85);X=(-180,180)",getraster,https://www.earthenv.org/texture,10.1111/geb.12365,,1,"Tuanmu, M.-N., & Jetz, W. (2015). A global, remote sensing-based characterization of terrestrial habitat heterogeneity for biodiversity and ecosystem modelling. Global Ecology and Biogeography, 24(11), 1329-1339. https://doi.org/10.1111/geb.12365","`getraster` names the resolutions 1km, 5km and 25km; the files are 30 arcsecond, 2.5 arcminute and 12.5 arcminute grids. Checked against the 25km files."
ERA,netCDF,,EPSG:4326,,"Y=(-90,90);X=(-180,180)",cds,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels-monthly-means,10.24381/cds.f17050d7,"CC-BY-4.0 (the Licence to use Copernicus Products, as the CDS catalogue reports it)",,"Copernicus Climate Change Service (2019). ERA5 monthly averaged data on single levels from 1940 to present [Data set]. Copernicus Climate Change Service (C3S) Climate Data Store (CDS). https://doi.org/10.24381/cds.f17050d7 Also cite the ERA5 description: Hersbach, H., Bell, B., Berrisford, P., Hirahara, S., Horányi, A., Muñoz-Sabater, J., Nicolas, J., Peubey, C., Radu, R., Schepers, D., Simmons, A., Soci, C., Abdalla, S., Abellan, X., Balsamo, G., Bechtold, P., Biavati, G., Bidlot, J., Bonavita, M., et al. (2020). The ERA5 global reanalysis. Quarterly Journal of the Royal Meteorological Society, 146(730), 1999-2049. https://doi.org/10.1002/qj.3803","ERA5 monthly means of single-level fields. The CDS serves any grid and any box (0.25 degrees and the whole globe unless the request says otherwise), so the resolution and the longitude convention are read from each file. Checked against files downloaded from the CDS. The citation is the DOI's registered text; the CDS page prints it as Hersbach et al. (2023) with the same DOI."
CERA,netCDF,,EPSG:4326,,"Y=(-90,90);X=(-180,180)",none,https://www.ecmwf.int/en/forecasts/dataset/coupled-reanalysis-20th-century,10.1029/2018MS001273,,,"Laloyaux, P., de Boisseson, E., Balmaseda, M., Bidlot, J.-R., Broennimann, S., Buizza, R., Dalhgren, P., Dee, D., Haimberger, L., Hersbach, H., Kosaka, Y., Martin, M., Poli, P., Rayner, N., Rustemeier, E., & Schepers, D. (2018). CERA-20C: A Coupled Reanalysis of the Twentieth Century. Journal of Advances in Modeling Earth Systems, 10(5), 1172-1195. https://doi.org/10.1029/2018MS001273",CERA-20C monthly means; files are given explicitly. Not yet checked against a downloaded file.
