Dataset,Code,Axis,OfficialUnit,Category,Unit,UnitDimension,AccumulationPeriod,AmountPerAreaPerMonth,Dimension,ValueType,Notes
BioClim,1;bio1,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,2;bio2,TemperatureRange,°C,range,K,𝚯,,K,𝚯,continuous,
BioClim,3;bio3,Isothermality,%,range,%,,,%,,continuous,"ANUCLIM (which both providers cite) defines this as a percentage, and WorldClim publishes no unit for it. Kept as % because this row serves WorldClim AND CHELSA; CHELSA's own table disagrees, and its claim is recorded on the CHELSA-only row in BioClimPlus.csv."
BioClim,4;bio4,TemperatureSeasonality,°C,range,K,𝚯,,K,𝚯,continuous,WorldClim publishes this as the standard deviation x100 (its own documentation says so); CHELSA gives the unit as degC/100. The values are therefore 100x the declared K.
BioClim,5;bio5,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,6;bio6,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,7;bio7,TemperatureRange,°C,range,K,𝚯,,K,𝚯,continuous,
BioClim,8;bio8,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,9;bio9,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,10;bio10,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,11;bio11,Temperature,°C,instantaneous,°C,𝚯,,°C,𝚯,continuous,
BioClim,12;bio12,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,yr,0.08333*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
BioClim,13;bio13,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,month_mean_duration,1.0*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
BioClim,14;bio14,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,month_mean_duration,1.0*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
BioClim,15;bio15,PrecipitationSeasonality,%,range,%,,,%,,continuous,"ANUCLIM (which both providers cite) defines this as a percentage, and WorldClim publishes no unit for it. Kept as % because this row serves WorldClim AND CHELSA; CHELSA's own table disagrees, and its claim is recorded on the CHELSA-only row in BioClimPlus.csv."
BioClim,16;bio16,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,quarter_mean_duration,0.3333*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
BioClim,17;bio17,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,quarter_mean_duration,0.3333*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
BioClim,18;bio18,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,quarter_mean_duration,0.3333*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
BioClim,19;bio19,Precipitation,kg*m^-2,rate,L*m^-2,𝐋,quarter_mean_duration,0.3333*L*m^-2,𝐋,continuous,"kg->L conversion performed using the water-density identity (1 kg/m^2 ≈ 1 L/m^2 ≈ 1 mm, density ~1000 kg/m^3); WorldClim's own BioClim layers report this in mm; we prefer CHELSA's dimensionally-equivalent kg*m^-2 form here since a single entry serves both sources"
